,caption,date,customer,rating,transcript
107,Stunning stay, December 2019,PatanAl,5.0,"<q class=""IRsGHoPm"">
 <>
  We are great Oberoi fans and during our travels to India over the past 10 years have always stayed in the Grabd in Kolkata and the Oberoi in New Delhi.  We decided on this trip that we would treat ourselves to one night at the Amarvilas to see the Taj Mahal.  I had visited the Taj before but the rest of the family hadn't and so it was incredible to be able to stay and see the Taj from our very comfortable room and the bar area.  The service from all of the staff is amazing - Ripudaman in the restaurant was excellent and deserves a special shout out he certainly made sure that we were extremely well fed! I would return tomorrow if I could.
 </>
</q>"
108,Excellent Services from Hotel & Keep Viewing Taj Mahal From Room & Balcony, December 2019,devalwayshere,5.0,"<q class=""IRsGHoPm"">
 <>
  You feel the welcome right from entry to the Amar Villas... the traditional, rich Indian culture of greetings, welcome with the entourage to the lobby to have some refreshments and then to the suite... Wonderful!!!  One feels the effect of the palatial city, Agra in Oberoi's Amar Villas.
 </>
</q>"
109,Just perfect, December 2019,Ben M,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed in 310 and 311. This was our base for Agra during a longer tour. The service is top notch. 5 star without feeling fussy. The dining was outstanding. It was Christmas and there was never a moment where the place felt overwhelmed even though it was full. Bedrooms were very comfortable. A tiny bit of wear showing- but did not bother us. Can’t imagine anything better in Agra
 </>
</q>"
110,View of the Taj Mahal from the room., December 2019,Peter Tilton,5.0,"<q class=""IRsGHoPm"">
 <>
  You look out your window or walk out on your private terrace and there is the Taj Mahal 600 yard away. Great roo, great service and great food. You can watch India dancers from your terrace every evening. The grounds are beautiful. You feel like your in your own palace.
 </>
</q>"
111,Incredibly special hotel, December 2019,James O,5.0,"<q class=""IRsGHoPm"">
 <>
  We came for our honeymoon &amp; were made feel so welcome. As a gay couple we were not sure what to expect, but the hotel were just incredible to us. We had a fabulous driver named Promod also - find him!
 </>
</q>"
112,A enchanting place bringing us back to the beautiful story of the everlasting love between Shah Jahan and Mumtaz Mahal., December 2019,Mr & Mrs La,5.0,"<q class=""IRsGHoPm"">
 <>
  We were traditionally greeted at the entrance hall of the Oberoi Amarvilas and were escorted to our check-in lounge.   The entrance hall was fascinating and massive with beautiful architectures and  small fountains which perfectly make us feel like king and Queen.  The check-in was smooth with welcome drink for the couple and staff were kind and knowledgeable about the property.   When we enter our room, we were overwhelmed by the view of Taj Mahal from our large balcony, the room was beautifully decorated in warm tone with wooden furniture and carpets that makes us feel comfortable with the cozy and luxurious atmosphere. We were given a heater since it was winter and about 7 to 8 degree celcius at night.  A outstanding characteristic of Oberoi Amarvilas is the service staffs at
 </>
 <>
  …
 </>
</q>"
113,Simply Amazing, December 2019,Stephen T,5.0,"<q class=""IRsGHoPm"">
 <>
  Very expensive but worth every rupee.   Extraordinary service by the staff especially Mandeep at the restaurants and Virat at the Front Office. Both had the initiative to give good suggestions about the hotel, our visit to the Taj Mahal, and also our onward journey to other parts of India.   We woke up at 6am to visit the Taj Mahal and it was worth it as there was only a very small crowd there. Took some amazing photos with nobody in the background. This is the place to stay definitely.
 </>
</q>"
114,This place has a head start..., December 2019,Charles Allen,4.0,"<q class=""IRsGHoPm"">
 <>
  You cone to Agra for two reasons. To see the Taj Mahal, and then to see it again! (Plus the fort is pretty spectacular). So why wouldn’t you stay in a hotel that has a view of the Taj? You certainly don’t want a room facing out the back of the hotel!!  At this time of year (December) it can be quite foggy in the morning but to see the Taj emerge in its white resplendent beauty is quite a thing!! The hotel lays on golf carts to take you to the Taj which is a fun way to arrive.  As to the hotel, it is very good. If your tour of India involves staying in some of the amazing palaces (see my other reviews), then this will feel a bit Best Western to their Four Seasons. It is of course a very good, modern hotel with excellent facilities and dining options. The breakfast is superb and
 </>
 <>
  …
 </>
</q>"
115,Marvelous & Unforgettable Stay!, December 2019,joellasabella,5.0,"<q class=""IRsGHoPm"">
 <>
  Having already thoroughly enjoyed a stay at the Oberoi Rajvilas in Jaipur, we were looking forward to the Amarvilas in Agra and finally a chance to drink in the wonders of the Taj Mahal. To say the very least we were not disappointed.   The wow factor here is extremely impressive. One is greeted warmly and attended to by the highest caliber of staff. The main entry courtyard and fountains were quite enchanting, and as the doors open to a resplendent lobby, one cannot help but be drawn further in to gaze out the grand windows as the domes of the magnificent Taj Mahal itself come clearly into view. For us it was quite moving indeed.   We were lead through a gorgeous sitting room with Gold painted walls, and rich blue-green woodwork with fine elegant furnishings, and the Division
 </>
 <>
  …
 </>
</q>"
116,The finest hotel in Agra, December 2019,antones2016,5.0,"<q class=""IRsGHoPm"">
 <>
  The Oberoi Amarvilas captivated us with it's location and charm. This is another world-class Oberoi property that exceeded our expectations. We had a beautiful room with a balcony overlooking the grounds with the glorious Taj Mahal directly in front of us. It is hard to imagine a more beautiful location and we were speechless on arrival with tears in our eyes.  The staff certainly pampered us during our two-day stay and again the Oberoi has so many little surprises in store for their guests. Little gifts and amenities abound and all of our needs were anticipated. We were treated like royalty and the staff was there to elevate our spirits and delight our senses. They arranged for a wonderful guide--Devesh Upadhyay-- with a hotel car and classic Rajasthani driver to help us
 </>
 <>
  …
 </>
</q>"
117,Beautiful stay, December 2019,erinmarycasey,5.0,"<q class=""IRsGHoPm"">
 <>
  We had a wonderful family stay. I highly recommend the rooms with the view of the Taj Mahal! The staff is lovely, the pool area is the most beautiful I've ever seen, and the privacy of the hotel itself is fabulous. If you want to stay at a luxury hotel and visit the Taj Mahal, this is the way to do it. The property is a very short golf cart drive away from the hotel, and the hotel staff will take you. The golf carts from the Oberoi can park closer to the Taj than any other hotel, so this really makes things easy as pie. Would love to visit again.
 </>
</q>"
118,Fabulous looking hotel in the Oberoi brand, December 2019,John L,4.0,"<q class=""IRsGHoPm"">
 <>
  The wow factor is certainly there. From the moment you arrive you are caught up by the resplendent landscaped gardens with the Taj Mahal in the distance. A more romantic location is hard pressed to find. Yet there are some less than polished elements in the restaurant waiters. Some of them more resembled trainees with reactive in action than anticipatory.  Nonetheless, a wonderful experience.
 </>
</q>"
119,Anil Sen Verma, April 2019,ANIL SEN VERMA,4.0,"<q class=""IRsGHoPm"">
 <>
  Its a braded hotel  good location but not large, limited  facilities, lots guards,security, privacy of guests matters.  It's too expensive to  its  services and rooms, prefer only extraordinary rich guests ,booking for limited  guests
 </>
</q>"
120,Magical - this is the only way to see the Taj Mahal, April 2019,Travelchic,5.0,"<q class=""IRsGHoPm"">
 <>
  Stay here! The views are simply magical, service amazing and the hotel and grounds are beautiful.  Had fabulous tea in the lobby overlooking the Taj.  Then a delicious evening dinner on our balcony (reserve a 3rd floor room if you are able to for a balcony but all rooms have Taj views I believe).  The rooms are very elegantly appointed.   The experience of watching the sun rise the Taj is one of my favorite travel experiences ever and absolutely my favorite experience in India.    It’s a quick walk (or the hotel will drive you in a golf cart), for a tour of the Taj.  Afterward take an afternoon dip in the stunning pool to revive.  It’s all highly recommended.   Save up and make this hotel part of your Taj experience - it is worth every penny...or rather worth every Rupee.
 </>
</q>"
121,Amazing experience and awesome stay, December 2019,Wanderer77777777777,5.0,"<q class=""IRsGHoPm"">
 <>
  You cannot go wrong when it comes to Oberoi hotels and this is an amazing property with a wonderful view of Taj Mahal. The staff is absolutely amazing they are warm and hospitality is awesome. Special thanks to Prachi and Deep and their amazing teams. Wonderful memories created which will be cherished forever   Prerna/Rajat (Room 315)
 </>
</q>"
122,Amazing view of the Taj Mahal, November 2019,Marti324,5.0,"<q class=""IRsGHoPm"">
 <>
  As all of the Oberoi Hotels, this one is spectacular!  When every room has a view of the Taj Mahal, how can you go wrong?  The rooms were great - I had a balcony on the 3rd floor.  It was nice to be so close to the Taj Mahal that you could jump in a golf cart and be there in a few minutes.  I was on a tour, we got to the hotel for lunch, then went to the Taj Mahal for sunset and got up early the next day to see the sunrise at the Taj Mahal.  Truly wonderful!!  As in all the Oberoi Hotels, the staff is great, maybe a little less so than the 3 other Oberoi Hotels I stayed in on this trip.
 </>
</q>"
123,Best Hotel in Agra, November 2019,FAA1996,5.0,"<q class=""IRsGHoPm"">
 <>
  This was the second time at his property and I spent a couple of nights with my family. We had several categories of rooms: suites with and without balconies as well as rooms with and without balconies. All rooms were comfortable and well appointed but they are starting to look a bit worn, bathrooms can seem a bit tight.  Service was excellent and food was very good. Location can't be beat, and I can't imagine visiting Agra and not staying here. However, be aware that pollution in Agra is just as bad as Delhi. Not sure I will return until something is done about the pollution: during one of the days we were there you could not see the Taj Mahal from the hotel at all, that's how bad the pollution is.  Also, be aware that although the hotel is very nice it does feel like a busy
 </>
 <>
  …
 </>
</q>"
124,Stunning location, December 2019,matthew1400,5.0,"<q class=""IRsGHoPm"">
 <>
  This was our second visit to this wonderful hotel. It has absolutely the best position for a visit to the Taj Mahal. Simply wonderful gardens with the Taj Mahal as a backdrop. Luxurious room with a balcony over looking the gardens and Taj Mahal. Really enjoyed our stay. Service was good even though a mistake was made in a celebratory restaurant booking, the staff coped with it and were exceptionally courteous and apologetic. Mistakes can happen, but aren't always dealt with as well. This hotel is truly world class. Thoroughly recommend.
 </>
</q>"
125,Beautiful View and Grounds, November 2019,JDavies87,5.0,"<q class=""IRsGHoPm"">
 <>
  Hotel is perfectly situated with the best views of the Taj Mahal.  Wonderful service.  Beautiful rooms.  Lovely grounds.  A must is dining under the stars.  Be sure to book this experience!  Some recommendations for the hotel:  1)  Inform guests, in advance, if there's an event scheduled that may cause some inconvenience. 2) Hotel was delayed in responding to emails.  My husband had to contact the hotel three times to get a response.  He simply wanted to make a reservation for the ""dining under the stars"" experience.  Response only came when he contacted the GM. 3) Breakfast buffet is light in terms of options and variety compared to other 5-star hotels.   However, overall, it is the best hotel in Agra and our time at the Oberoi was excellent.
 </>
</q>"
126,OMG the view, December 2019,NYCdriver,5.0,"<q class=""IRsGHoPm"">
 <>
  So where to start?  There is a stunning view of the Taj Mahal from the room.  The hotel and rooms and service are elegant in the extreme.  There is also a spa.  The grounds and pool are ridiculously lovely with water fountains running.  This is a very formal environment, so probably not the best option if traveling with children, even upscale.
 </>
</q>"
127,Oberoi Amarvilas Review Traveling with young children, November 2019,Sohel M,5.0,"<q class=""IRsGHoPm"">
 <>
  We have had the pleasure of staying with our family of 10 for our first visit to the Taj Mahal. It is a magical property that has exceeded all of our exceptions. Amarvias has a wonderful, unobstructed view of the Taj Mahal from every room in the hotel. The service from the well trained staff was exceptional. The best hotel experience we ever had!
 </>
</q>"
128,Stay Here, October 2019,John G,5.0,"<q class=""IRsGHoPm"">
 <>
  if you are going to Agra, and can afford the splurge (it is a splurge), stay here. Be sure and get a room that overlooks the Taj. The hotel is beautiful, the people are wonderful, and you will always remember the view from the hotel. In addition, it is VERY easy to get to the Taj from the hotel -- down a pedestrian (mostly) lane.
 </>
</q>"
129,Thank you to the Oberoi Agra Team, November 2019,Paula S,5.0,"<q class=""IRsGHoPm"">
 <>
  I would like to thank the whole team of the Oberoi Agra team for the most memorable, enjoyable and wonderful stay. I am a fan of your properties, where I have always been exposed to the most heartfelt service I have ever encountered anywhere in the world out of every hotel I have ever visited. You are just the best!
 </>
</q>"
130,2 Day visit to Agra and Taj Mahal, November 2019,Kris Murthy,5.0,"<q class=""IRsGHoPm"">
 <>
  Exquisite hotel with views of Taj Mahal.  Superb 'no questions asked' service that made us feel at home.  Rooms are very comfortable, the facility is immaculate with gardens and fountains.  We could not ask for anything that was not provided for immediately.  Great limo service wherever we wanted to go.  I would unconditionally recommend this resort.
 </>
</q>"
131,Exceptional Stay, November 2019,Amy O,5.0,"<q class=""IRsGHoPm"">
 <>
  My boyfriend and I stayed one night at the Oberoi Amarvillas. I was blown away. The property grounds were stunning and the staff was impeccably trained, creating a truly memorable visit. Everyone we encountered went above and beyond to ensure our stay was perfect. I had mentioned to our server how much I enjoyed one of my dishes from the restaurant, and soon after the chef appears with a copy of the recipe. The Oberoi properties are a league of their own, and I can't wait to go visit again.
 </>
</q>"
132,Beautiful Gardens , November 2019,GLOSSOPGLOBETROTTERS,5.0,"<q class=""IRsGHoPm"">
 <>
  Upon arrival I was presented with flowers as it was my birthday the previous day and chocolates were later left in our room, a very nice gesture.  Stayed for one night in a double premier room with balcony  and views of the Taj Mahal which was wonderful. The view also encompasses the beautiful manicured gardens and pool area.  The room was comfortable although somewhat dark due to the teak furnishings but in keeping with it’s colonial heritage. the bathroom was on the small side although more than adequate for one or two nights stay.  The dining room was quite magnificent where we had lunch, dinner and breakfast. Breakfast offered a superb choice but for dinner you had a choice of either buffet or À la carte we chose the À la carte. To start we had a fabulous lobster bisque but
 </>
 <>
  …
 </>
</q>"
133,"Luxury and exemplary service sit at odds with smog, poor air quality and poverty all around", September 2019,The Global Explorer,4.0,"<q class=""IRsGHoPm"">
 <>
  This is a superb hotel, with exemplary service.  The level of service at this hotel redefines the word. In fact, if I'm being honest its all a bit OTT and becomes tiring after a bit because you are never left alone to relax. You are always being asked if you need something from the large army of staff. The hotel is very attractive and the view from the hotel of the Taj Mahal was better and more impressive than actually visiting it in person.   Downsides? Well, the levels of smog and pollution are appalling. The air quality is so bad, it gives you a permanent sore throat and headache when you step outside. We also felt a little uncomfortable and more than a little guilty staying in such luxury surrounded by such abject poverty.
 </>
</q>"
134,Oberoi Amar Vilas Agra India, November 2019,Bill I,5.0,"<q class=""IRsGHoPm"">
 <>
  The is definately on of the best hotels in India. You open your window, and the Taj Mahal is approximately 500 meters away. The royal service experience starts as soon as you arrive. The rooms are large and very well appointed. The food in the restaurants is excellent.
 </>
</q>"
135,Amazing time, November 2019,Meg H,5.0,"<q class=""IRsGHoPm"">
 <>
  Had the best stay imaginable here, everyone working was so kind and helpful, everything was beautiful and the food was delicious. I wish I could give this more stars. But what truly made it special was Sabrina, she was the kindest person and felt like a friend. I’ll come back just for her! Thanks again
 </>
</q>"
136,Wow, November 2019,Worldwatcher,5.0,"<q class=""IRsGHoPm"">
 <>
  Being an Oberoi, the hotel is of course fabulous.  It enjoys stunning views of the Taj Mahal.  Mind you the smog does detract somewhat even though it severity is nothing like that which one experiences in Delhi.  Anyway, back to the hotel.  Great views, good food and service and delightful dining room and cocktail lounge.  Without doubt the the best place to stay when in Agra,
 </>
</q>"
137,Stunning, November 2019,mcwheel,5.0,"<q class=""IRsGHoPm"">
 <>
  Wow what a place to visit and see the Taj Mahal. We had rooms looking straight to the Taj Mahal which was very special so you could see it in different lights during the day. The hotel is beautiful and most luxurious and well worth going to. Rooms were extremely well appointed and very comfortable. Having drinks at night on the  bar verandah, with views of the Taj, was very special.
 </>
</q>"
138,7 star cultural experience , November 2019,yasinuk,5.0,"<q class=""IRsGHoPm"">
 <>
  This hotel is incredible provides unbeatable views of the Taj Mahal from multiple places and all rooms, I say cultural in the title because the live sunset music and dance is an experience in itself. The food in the restaurants is to die for, the kids menu has gourmet chicken nuggets so extra points for that too! We had a suite with multiple balconies and view to the monumental Taj take a moment because it will take your breath away. The hospitality of every member of staff who are obviously the best in the best at what they do, hand picked. Big thanks to Bishal and Harshit who looked after our needs prior and during our stay and the general manager Vishal Pathak who is obviously running a very well run operation.   We are travelling for a few months so budget was always a
 </>
 <>
  …
 </>
</q>"
139,Every room has a view of the Taj Mahal, October 2019,Carolynt23,4.0,"<q class=""IRsGHoPm"">
 <>
  All rooms have a view of the Taj Mahal though with the 'haze' it is not a crystal clear view always. Our KS room was good and on the firm (but comfortable) bed there was a separate sheet as well as a quilt which i always like. There is a pillow menu and an iron and board in the room.The Oberoi bathroom toiletries are of high standard.  The TV had a large number of local and international channels and wifi was good. The buffet breakfast was very good and various dishes are made to order - try the dosa for breakfast - it looks huge (like a rolled up newspaper) but it is thin so is not as filling as it looks - it comes with various relishes you dunk the dosa in. The Indian restaurant Esphahan was very good but surprisingly the service in the buffet restaurant was incredibly slow.
 </>
 <>
  …
 </>
</q>"
140,Infinity Star Hotel with Impeccable Service, October 2019,Ashish M Majithia,5.0,"<q class=""IRsGHoPm"">
 <>
  I stayed at the Oberoi Amrvillas during our recent family holiday to Jaipur and Agra. We specifically chose to stay at the Oberoi properties as it was highly recommended by my sister and brother-in-law. As expected the cost was higher than the one included in a typical package but it was well worth every penny of it! The property in its own right is majestic and grand. From the moment you enter the hotel, the feel and decor takes you back in time to the Mogul era - the extraordinary welcome enhances the grandeur of this place! Each guest is welcomed with garlands and sandlewood ""tikka"", befitting to the time when the King returns from battle.  On arrival we were fortunate enough to be upgraded - the rooms are spacious, modern and tastefully decorated with all modern amenities a
 </>
 <>
  …
 </>
</q>"
141,Waking up in front of the Taj Mahal, October 2019,Fabio Massimo Bonini,5.0,"<q class=""IRsGHoPm"">
 <>
  The memory of lying in bed with the TajMahal in front. Excellent service. The rooms unlike the common parts are small. The swimming pool area and the restaurants are superb. To me this is the hotel tho choose if you go to Agra...no doubt.
 </>
</q>"
142,Stunning! Simply Stunning!, November 2019,372306,5.0,"<q class=""IRsGHoPm"">
 <>
  What a fantastic hotel the is! The greeting was lovely - the staff were so friendly. The room, which had a balcony looking towards the Taj Mahal, was very well appointed and very comfortable. The meals were delicious and beautifully presented. Nothing was too much for the staff and we only wish that we could have stayed for longer. Perhaps next time...? The staff should be congratulated for making our brief stay so enjoyable, thanks.
 </>
</q>"
143,Stunning hotel.  Amazing views of the Taj Mahal, October 2019,Pamela S,5.0,"<q class=""IRsGHoPm"">
 <>
  A terrific location to see the Taj Mahal, both from your hotel and an actual visit.  Many wonderful dining options here.  The staff are clothed beautifully.  Great shops here.  Wonderful room and service.  No complaints here.
 </>
</q>"
144,Exquisite Luxury in city of taj, November 2019,DylanWattson,5.0,"<q class=""IRsGHoPm"">
 <>
  Let me share my best experience since im new to trip advisor ! My first travel journey took me to Agra where i first stayed at the epitome of indian hospitality in city of love AGRA. Amarvillas is nothing less than Royalty Experience with all that you can dream of. Truly  magnificent stay before we moved to explore various shades on india
 </>
</q>"
145,Sight Inspection, October 2019,JavierBar,5.0,"<q class=""IRsGHoPm"">
 <>
  As a travel agent while visiting AGRA it´s a must to check THE OBEROI AMARVILAS. The hotel is really fantastic, they are also running a new restaurant, gardens &amp; pool are great. I was greeted by NAMAN GOSAIN (manager on duty) who kindky help me to see rooms and comun areas. KEEP ON LIKE THIS !! Congratulations OBEROI
 </>
</q>"
146,Amazing hotel with one off views and fabulous breakfasts, October 2019,Layla Smith,5.0,"<q class=""IRsGHoPm"">
 <>
  The location of this hotel is obviously outstanding for the Taj Mahal and so nice that all rooms have a view. This was our first experience out of three Oberoi hotels in India. From getting out of the car, we were made to feel very welcome, with a drink and the first views of the Taj. Breakfast was outstanding, so much choice from the buffet and further menu. Service a little show from the seating round the pool but not a problem if you have the time to wait... The only slight downside was when we ate in the restaurant, we were in what felt like a little lobby outside the main room so there wasn't much atmosphere. We were too busy on trips to use the pool or spa unfortunately, but did take a stroll round.
 </>
</q>"
147,Magnificent stay marred by mediocre food, October 2019,abhikthestoryteller,4.0,"<q class=""IRsGHoPm"">
 <>
  Even a magnificent view of Taj couldn't make up for the flat food Amarvilas served both at Lunch and Dinner. Clearly they are cooking for those foreigners who tend to dislike to spicy food. But ridding the foods of their character didn't appear right to me. Anyway, time spent at Amarvilas was excellent. Thank you.
 </>
</q>"
148,Fabulous View, October 2019,vash73p,5.0,"<q class=""IRsGHoPm"">
 <>
  I think the view was well worth it, but the hotel was also amazing, watching the indian dancing from the terrace bar was a pleasure.  The food at the Esphahan restaurant was excellent, including the lovely chocolate cake provided especially for my daughter's birthday.  The staff were very friendly and always attentive.  This hotel is an oasis in Agra and I highly recommend a stay whilst visiting the Taj Mahal.
 </>
</q>"
149,Amazing view, October 2019,Sarah Dawkins,5.0,"<q class=""IRsGHoPm"">
 <>
  What a privilege to see such an iconic sight from a wonderful hotel. An oasis of peace and tranquility with fabulous staff set in beautiful grounds. Wonderful shops within the hotel, who could ask for anything more?!
 </>
</q>"
150,Mixed review, November 2019,Steve H,4.0,"<q class=""IRsGHoPm"">
 <>
  Location, location, location — the Oberoi sits in a perfect location overlooking the Taj Mahal on a beautiful piece of property.  We spent 2 wonderful nights.  Every room shares the Taj view as the rooms are all on one side of the hotel.  Obviously, the view gets better the higher you are in the hotel.  Each room also looks down on the pool and lawn area which enhances the view.  The rooms are large and have a nice balcony with a table and chairs.  Very quiet and comfortable.  Lots of staff to greet you and help with any concerns.  I would have given it a 5 star review, but we found the hotel to be a little inflexible on dining.  We decided to pare back on our eating one evening because we had been eating so much great Indian food, so we decided to get some wine and “snack”
 </>
 <>
  …
 </>
</q>"
151,You have to try this place once!, October 2019,ianreadman,5.0,"<q class=""IRsGHoPm"">
 <>
  Wow!!! This hotel and staff are truly amazing. After reading about the place, I expected the stunning view but never thought the entire staff would be as friendly and accommodating as they were. I will certainly be back and not just to see the Taj Mahal!
 </>
</q>"
152,Beautiful well located hotel, October 2019,rich673,5.0,"<q class=""IRsGHoPm"">
 <>
  This hotel is stunning, having now stayed at 4 Oberoi properties across India, it is clear that they use local influences in the design of their hotel and as this one sits facing the Taj Mahal, the architectural cues are clear.   The pool area is beautiful and every room has a view of the Taj, which looks beautifully majestic sitting just in the background.   As with all Oberoi properties, the food and service is excellent, if a little slow on occasion.   The property is about 600m from the entrance to the Taj, so you are well located for the main event!!
 </>
</q>"
153,Excellent hospitality, October 2019,mansi s,5.0,"<q class=""IRsGHoPm"">
 <>
  We had the most amazing dinner in oberoi Amarvilas on our Anniversary. The staff is extremely humble to make anyone feel so comfortable. Mr Siddhant who is the sales management trainee took every effort to make us feel special. He advised us to have dinner according to our needs. Mr Osama who was in the restaurant Esphahan was extremely humble enough to take care of everything and he presented us our anniversary cake. It was such an amazing experience of our life. I would surely come again in my next visit to Agra. Highly recommended for celebrating special days of your life.
 </>
</q>"
154,Excellent Hotel, October 2019,Z Dang,5.0,"<q class=""IRsGHoPm"">
 <>
  Fabulous hotel to stay in Agra. Staff were extremely helpful and provided excellent service with a smile.  The breakfast, lunch and dinner was outstanding with the staff able to cater for a vegan guest without any problems at all. The rooms were well equipped with luxurious fixtures and decorations.  The property itself is absolutely stunning with lovely gardens and architecture.  The view from our balcony of the Taj made our stay memorable and would highly recommend. Concierge staff and security made our stay feel secure and safe at all times. Would definitely stay again!
 </>
</q>"
155,The staff were amazing, October 2019,Priya B,5.0,"<q class=""IRsGHoPm"">
 <>
  We really felt special from the moment we stepped out of the car! It's a beautiful hotel and the closest to the Taj Mahal.  Prachi was very welcoming and made us feel at home. Marc was such a lovely host and I could talk to him for hours! The santoor musician at dinner time is super talented.  The chef who made the delicious paneer kathi roll by the poolside was amazing! The view from our suite was breathtaking.  The host who made our drinks and taught my kids how to mix mocktails was so patient with them! We had a super time and can't wait to come back next year with my family xxx
 </>
</q>"
156,"Beyond words, and worth at least 6 stars", October 2019,PhoebeExeter,5.0,"<q class=""IRsGHoPm"">
 <>
  This hotel is so special. To have a view of the Taj Mahal from your balcony is the most amazing and breathtaking experience.  The staff make you feel special from the minute your car arrives. The food is wonderful and the chef is more than happy to talk to you about the flavours and use of spices and the methods of cooking the different dishes. A memory that will stay with us always.
 </>
</q>"
157,Heartfelt, October 2019,Caroline B,5.0,"<q class=""IRsGHoPm"">
 <>
  As part of our exotic vacations 14 day holiday we planned 2 days in this simply stunning hotel. We have stayed here twice previously but still it is jaw dropping beautiful.From the moment we were met at the car and taken through the hotel for a welcome drink on the terrace you are stunned at the beauty of the hotel,the architecture and the details and the most amazing views of the Taj Mahal-even though we have twice we were still stunned so much that I didn't hear a thing that was said.every room in the hotel has a view of. The Taj Mahal.  Our room was stunning complete with a balcony that you sit out and watch the sun set over the Taj- it really is quite surreal. There was a White chocolate Taj Mahal with with pictures of us from Rajvilas printed onto chocolate - so very
 </>
 <>
  …
 </>
</q>"
158,Dazzling view of Taj Mahal, September 2019,fitzfloyd,5.0,"<q class=""IRsGHoPm"">
 <>
  My room had a direct view of the Taj Mahal; it was hard to take my eyes off this most beautiful of buildings.  The hotel was undergoing renovations during my stay. Despite this, my room was quiet - request a quiet room and you will be placed away from the noise. The hotel is very close to the Taj Mahal and has a shuttle to take guests quickly to the entrance.  We arrived at sunrise - around 6 am from memory - and there were very few people at the Taj Mahal.  It was perfect. It's a lovely hotel in a perfect location, with superb staff.
 </>
</q>"
159,Would have given 6 stars if I could!, October 2019,Nancy,5.0,"<q class=""IRsGHoPm"">
 <>
  A lovely hotel with friendly and helpful staff. Very close to the Taj Mahal with free and easy transport and the hotel will purchase the tickets (at your expense) so you do not have to stand in line and offer a guide if you need it. The food was fabulous, the service was very good and the decor is lovely. Watched sunset from our balcony with a view of the Taj Mahal. I would go again!
 </>
</q>"
160,"Beautiful hotel and restaurant, okay lunch but service so so for a 5* hotel", September 2019,Drsin28,3.0,"<q class=""IRsGHoPm"">
 <>
  I called in a drink in the bar and for lunch but sadly the restaurant facing Taj Mahal is closed for lunch and renovation work means it’s not as tranquil as it should be.  It was an incredibly hot day I ordered two starters: cold soup followed by roasted broccoli. They brought my broccoli dish when I was barely half way through my soup. I asked them to bring it later and when it arrived, it was over cooked and soggy. For the price I paid I expected a lot more than that. I was also repeatedly asked to show my ID first in the lobby and again in the restaurant. They even took my ID away and took a photocopy. What's this obsession all about? I travel the world and frequent 5* hotels. Never in any major global cities such as NYC, London, HK, Paris, Tokyo, KL, Rio and LA was I subject
 </>
 <>
  …
 </>
</q>"
161,Beyond 5 star, October 2019,mikerowson,5.0,"<q class=""IRsGHoPm"">
 <>
  What a stunning hotel! We chose this hotel as every room has a view of the Taj Mahal.  Yes it's expensive but we looked at it as being part of the Taj Mahal experience and a once in a lifetime visit.  The hotel and grounds are beautifully kept and everywhere you turn there's a photo opportunity.  On arrival we were taken to a balcony for a drink and our first glimpse of the Taj.  We were then shown our room which had a very large window for further views. The room was luxurious and staff were keen to ensure we were happy and had everything we needed. We ate all our meals in the hotel and service was excellent. Food was beautifully presented and delicious. Coffee and pastries are available very early in the morning before you head for the Taj Mahal and then you are driven there
 </>
 <>
  …
 </>
</q>"
162,Stunning Stay, September 2019,mudguts182,5.0,"<q class=""IRsGHoPm"">
 <>
  We have just returned from the most incredible stay at this wonderful hotel. The setting is stunning, the staff and food was incredible ( thank you to the chef and his team). The views of the Taj Mahal are spectacular.  Our suite was amazing. I had surprised my Husband with a Hindu wedding vow renewal ceremony which the hotel arranged, followed by a private dinner in our suite , it was so special. Thank you to the whole team for making us feel like Family. Everyone should stay here once in their life and visit the Taj. It is beyond incredible.
 </>
</q>"
163,Only place to stay in Agra , October 2019,Bobby B,4.0,"<q class=""IRsGHoPm"">
 <>
  This Oberoi is the only place to stay when visiting the Taj Mahal. The view is unparalleled, the pool garden is magical. Reminds one of the step wells.  The chef is excellent and food comparable to other Oberoi.   The dinning room however was not comfortable or welcoming, if felt temporary, an inside room with no view and a bit out of date visually. Felt more geared to conferences.  The pool terrace could have been a lovely spot for breakfast or dinner but the opportunity seemed to be missed.  The major difference I suspect here is guests stay such a short time, one night, maybe two, so the staff seems not accustomed to building a rep-ore with guests. Everyone is lovely and polite and obviously very well trained, but not as heart warming as other Oberoi.   The spa feels like an
 </>
 <>
  …
 </>
</q>"
164,Stunning views !!, September 2019,deeeeMidlands,5.0,"<q class=""IRsGHoPm"">
 <>
  We had heard about The Amarvillas being superb in every way location topping everything! We were absolutely astonished to see our suite with such superb views of the Taj Mahal. It was unbelievable and we couldn’t get enough of it. From the minute we arrived till we left we had a fantastic time here. Everyone was extremely pleasant attentive and helpful. The restaurant managed by Mr Deep Arneja was an experience every meal time. From breakfast to dinner we had best service and superb meals. Would love to go back again when they finish renovations.
 </>
</q>"
